"","Genus","Species"
"Otu00330",NA,NA
"Otu00331",NA,NA
"Otu00332","Dolosigranulum","pigrum"
"Otu00333",NA,"amalonaticus/braakii/cloacae/europaeus/freundii/gillenii/hormaechei/koseri/murliniae/ornithinolytica/pasteurii/terrigena/werkmanii/youngae"
"Otu00334",NA,NA
"Otu00335",NA,NA
"Otu00336",NA,NA
"Otu00337",NA,NA
"Otu00338","Comamonas","testosteroni/thiooxydans"
"Otu00340","Halomonas","xianhensis"
"Otu00341",NA,NA
"Otu00342","Nioella","nitratireducens"
"Otu00343","Blastococcus","saxobsidens"
"Otu00344","Acinetobacter","baumannii/beijerinckii/calcoaceticus/dispersus/gyllenbergii/haemolyticus/junii/oryzae/parvus/tandoii/tjernbergiae"
"Otu00345",NA,NA
"Otu00346",NA,NA
"Otu00347",NA,NA
"Otu00348",NA,NA
"Otu00349","Photobacterium","aquae/gaetbulicola/panuliri/phosphoreum/rosenbergii/sanctipauli"
"Otu00350",NA,NA
"Otu00352",NA,NA
"Otu00353",NA,NA
"Otu00354",NA,NA
"Otu00355",NA,NA
"Otu00356",NA,NA
"Otu00357",NA,NA
"Otu00358",NA,NA
"Otu00359",NA,NA
"Otu00360",NA,NA
"Otu00362",NA,NA
"Otu00363",NA,NA
"Otu00364",NA,NA
"Otu00366",NA,NA
"Otu00367",NA,NA
"Otu00371",NA,NA
"Otu00372",NA,NA
"Otu00374",NA,NA
"Otu00375","Pseudomonas","alcaliphila/mendocina/oleovorans/putida/songnenensis/stutzeri/xanthomarina"
"Otu00376",NA,NA
"Otu00377",NA,NA
"Otu00378","Acinetobacter","baumannii/septicus/ursingii"
"Otu00379","Arthrobacter","flavus/tumbae"
"Otu00380",NA,NA
"Otu00381",NA,NA
"Otu00382",NA,NA
"Otu00383",NA,NA
"Otu00384","Corynebacterium","matruchotii"
"Otu00385",NA,NA
"Otu00387",NA,NA
"Otu00389",NA,NA
"Otu00390",NA,"albilineans/cristatus/equinus/pneumoniae/salivarius/thermophilus/vestibularis"
"Otu00391",NA,NA
"Otu00392","Staphylococcus","arlettae/cohnii/gallinarum/kloosii/saprophyticus"
"Otu00393",NA,NA
"Otu00394","Bacillus","thermoamylovorans"
"Otu00396",NA,NA
"Otu00400",NA,NA
"Otu00401","Finegoldia","magna"
"Otu00402",NA,NA
"Otu00403",NA,NA
"Otu00404","Pseudomonas","aeruginosa/alcaligenes/alcaliphila/asplenii/cf./chengduensis/composti/cuatrocienegasensis/fluorescens/fuscovaginae/guguanensis/indoloxydans/jessenii/knackmussii/mendocina/monteilii/nitroreducens/oleovorans/pseudoalcaligenes/putida/sihuiensis/toyotomiensis/trautweinii"
"Otu00405","Pseudomonas","aeruginosa/alkylphenolica/argentinensis/benzenivorans/cremoricolorata/cuatrocienegasensis/flavescens/fluorescens/fulva/glareae/hunanensis/mendocina/monteilii/mosselii/oryzihabitans/parafulva/plecoglossicida/punonensis/putida/segetis/seleniipraecipitans/soli/straminea/taiwanensis"
"Otu00406",NA,NA
"Otu00407",NA,NA
"Otu00408",NA,NA
"Otu00409",NA,NA
"Otu00410","Kocuria","assamensis/palustris"
"Otu00411","Acinetobacter","bouvetii/haemolyticus/johnsonii/junii"
"Otu00412",NA,NA
"Otu00413",NA,NA
"Otu00414",NA,NA
"Otu00415",NA,NA
"Otu00416","Salinicola","acroporae/halophilus/rhizosphaerae/salarius/socius/zeshunii"
"Otu00417",NA,NA
"Otu00418","Haemophilus","influenzae/parainfluenzae"
"Otu00419",NA,NA
"Otu00420",NA,NA
"Otu00421","Salinisphaera","shabanensis"
"Otu00422","Alkanindiges","illinoisensis"
"Otu00424",NA,NA
"Otu00426",NA,NA
"Otu00429",NA,NA
"Otu00430",NA,NA
"Otu00434",NA,NA
"Otu00435","Microbulbifer","agarilyticus/celer/chitinilyticus/elongatus/maritimus/rhizosphaerae/taiwanensis/variabilis"
"Otu00436","Rhizobium","acidisoli/aegyptiacum/anhuiense/bangladeshense/binae/calliandrae/cf./ecuadorense/etli/fabae/freirei/gallicum/hainanense/indigoferae/jaguaris/laguerreae/leguminosarum/lentis/leucaenae/lusitanum/mayense/miluonense/mongolense/multihospitium/paranaense/phaseoli/pisi/rhizogenes/sophorae/sophoriradicis/tropici/vallis"
"Otu00437",NA,NA
"Otu00438",NA,NA
"Otu00439",NA,NA
"Otu00440",NA,NA
"Otu00442",NA,NA
"Otu00443","Rhizobium","daejeonense/leguminosarum/naphthalenivorans/nepotum/rhizogenes"
"Otu00444",NA,NA
"Otu00446",NA,NA
"Otu00447",NA,NA
"Otu00448",NA,NA
"Otu00449","Corynebacterium","amycolatum/jeikeium/lactis/urealyticum/vitaeruminis"
"Otu00451","Nonlabens","sediminis/tegetincola"
"Otu00452",NA,NA
"Otu00454",NA,NA
"Otu00455",NA,NA
"Otu00456","Dietzia","cercidiphylli/dagingensis/natronolimnaea/psychralcaliphila"
"Otu00457",NA,NA
"Otu00458",NA,NA
"Otu00460","Palleronia","marisminoris"
"Otu00461","Exiguobacterium","acetylicum/aestuarii/alkaliphilum/aquaticum/arabatum/aurantiacum/chiriqhucha/himgiriensis/homiense/marinum/mexicanum/panipatensis/pavilionensis/profundum"
"Otu00462",NA,NA
"Otu00463",NA,NA
"Otu00464",NA,"aegrifaciens/agilis/animicus/anxifer/arsenitoxydans/denitrificans/dolens/hinzii/insolitus/insuavis/marplatensis/pertussis/petrii/piechaudii/pulmonis/ruhlandii/spanius/trematum/tumulicola/xylosoxidans"
"Otu00465",NA,NA
"Otu00466",NA,NA
