sample	0	1	2	3	4	5	6	7	8	9	10	11
PLATEIV_G_3	209	25	10	7	4	5	2	6	1	0	0	0
PLATEIV_G_4	158	26	3	1	0	2	3	1	1	0	0	0
PLATEIV_G_6	561	77	45	23	16	9	27	15	10	10	6	5
PLATEIV_G_7	270	26	12	7	8	4	5	3	3	3	3	0
PLATEIV_G_8	633	82	40	18	15	27	21	16	18	10	2	3
PLATEIV_G_9	280	24	16	4	1	4	4	5	3	4	0	0
PLATEIV_H_10	183	19	2	3	2	3	6	0	3	0	0	0
PLATEIV_H_11	74	22	2	0	1	0	0	0	1	0	0	0
PLATEIV_H_12	204	34	11	6	4	4	4	0	6	3	1	1
PLATEIV_H_1	283	181	114	145	126	65	41	47	43	10	3	1
PLATEIV_H_2	20	0	1	0	1	2	1	0	0	1	0	0
PLATEIV_H_3	14	1	0	1	0	0	0	0	0	0	0	0
PLATEIV_H_4	19	0	0	0	1	0	0	1	0	1	0	0
PLATEIV_H_6	260	44	16	9	13	4	4	2	9	2	1	3
PLATEIV_H_7	123	13	2	4	0	1	3	1	3	0	0	0
PLATEIV_H_8	127	22	3	1	2	0	3	3	5	0	1	2
PLATEIV_H_9	188	21	6	3	0	3	3	3	9	5	0	1
PLATEI_A_10	4	0	0	0	0	1	0	0	0	0	0	0
PLATEI_B_10	117	11	0	2	3	1	3	2	3	1	1	0
PLATEI_B_11	104	13	2	2	0	1	1	1	1	1	1	1
PLATEI_B_12	122	11	1	1	2	2	2	1	2	2	0	0
PLATEI_B_1	62	6	1	0	2	3	0	1	1	0	0	0
PLATEI_B_2	5	0	0	0	0	0	0	0	0	0	0	0
PLATEI_B_3	136	11	2	3	0	2	1	2	2	1	0	0
PLATEI_B_4	349	50	14	10	8	8	7	2	3	4	1	1
PLATEI_B_5	98	4	3	2	2	0	1	2	0	1	1	2
PLATEI_B_6	8	0	0	0	0	0	0	0	0	0	0	0
PLATEI_B_7	166	21	4	0	3	2	1	3	5	1	0	0
PLATEI_B_8	92	10	1	1	1	0	1	1	2	1	1	0
PLATEI_B_9	137	5	3	4	1	3	5	2	5	4	0	0
PLATEI_C_10	234	24	11	7	7	10	7	8	3	0	0	1
PLATEI_C_11	94	29	22	1	0	2	2	1	0	1	1	0
PLATEI_C_12	285	47	19	7	8	6	7	8	1	1	3	1
PLATEI_C_1	95	11	3	6	3	3	0	2	0	0	0	0
PLATEI_C_2	89	10	1	1	2	3	3	1	2	3	1	1
PLATEI_C_3	74	8	2	0	1	0	1	2	0	0	0	1
PLATEI_C_4	134	17	4	3	4	0	2	1	2	0	0	0
PLATEI_C_5	137	17	6	2	1	3	1	5	2	2	0	0
PLATEI_C_6	124	18	1	0	3	1	1	3	1	1	0	0
PLATEI_C_7	112	16	0	0	1	1	1	1	0	3	1	0
PLATEI_C_8	93	15	2	2	2	2	2	2	0	0	0	1
PLATEI_C_9	137	7	0	3	6	2	3	3	4	1	1	0
PLATEI_D_10	274	33	14	6	8	9	5	0	3	0	0	0
PLATEI_D_11	98	9	1	1	2	1	1	0	1	1	0	1
PLATEI_D_12	98	4	1	2	1	1	0	1	2	1	0	0
PLATEI_D_1	42	5	1	2	1	1	1	1	1	1	0	0
PLATEI_D_2	245	31	14	4	5	5	3	2	1	2	0	0
PLATEI_D_3	93	8	2	1	1	0	2	4	2	2	0	0
PLATEI_D_4	93	8	1	0	1	2	1	1	1	0	0	0
PLATEI_D_5	226	14	5	2	2	4	4	2	4	3	1	0
PLATEI_D_6	171	33	7	4	2	7	2	2	2	1	1	1
PLATEI_D_7	175	12	7	2	2	6	0	3	2	0	0	0
PLATEI_D_8	8	0	0	0	0	0	0	0	0	0	0	0
PLATEI_D_9	352	46	13	10	2	6	2	6	5	4	0	0
