sample_name,tag.id,colony.color,depth.ft,samp.date,colonyDNA.id,UNIQUEID,land_ocean,sample_num,sensor_num,octo_num,samp_loc,sub_loc,branch_loc,branch_plate,sample.name,dom,cd_few,location,loc_samp_nam,dups,sample type
F5,968,Orange,6,7/17/19,F,F5,Ocean,5,NA,,Branch,mid,Outer,B,F5,D,,Branch mid,Branch mid_F5,yes,sample
F5b,968,Orange,6,7/17/19,F,F5,Ocean,5,NA,,Branch,mid,Outer,B,F5,D,,Branch mid,Branch mid_F5,yes,sample
F6,968,Orange,6,7/17/19,F,F6,Ocean,6,NA,,Branch,base,Outer,B,F6,D,,Branch base,Branch base_F6,yes,sample
F6b,968,Orange,6,7/17/19,F,F6,Ocean,6,NA,,Branch,base,Outer,B,F6,D,,Branch base,Branch base_F6,yes,sample
F7,968,Orange,6,7/17/19,F,F7,Ocean,7,2,Octo_3,Deepest,,,,F7,D,,Deepest,Deepest_F7,yes,sample
F7b,968,Orange,6,7/17/19,F,F7,Ocean,7,2,Octo_3,Deepest,,,,F7,D,,Deepest,Deepest_F7,yes,sample
F8,968,Orange,6,7/17/19,F,F8,Ocean,8,3,Octo_3,Lowest,,,,F8,D,,Lowest,Lowest_F8,yes,sample
F8b,968,Orange,6,7/17/19,F,F8,Ocean,8,3,Octo_3,Lowest,,,,F8,D,,Lowest,Lowest_F8,yes,sample
F9,968,Orange,6,7/17/19,F,F9,Land,9,4,Octo_3,Branch,tip,,C,F9,D,,Branch tip,Branch tip_F9,,sample
G10,966,Orange,10,7/17/19,G,G10,Land,10,NA,,Branch,mid,Outer,C,G10,CD,,Branch mid,Branch mid_G10,,sample
G11,966,Orange,10,7/17/19,G,G11,Land,11,NA,,Branch,base,Inner,C,G11,CD,,Branch base,Branch base_G11,,sample
G12,966,Orange,10,7/17/19,G,G12,Land,12,NA,,Plate,top,,D,G12,CD,,Plate top,Plate top_G12,,sample
G13,966,Orange,10,7/17/19,G,G13,Land,13,NA,,Plate,edge,,D,G13,CD,,Plate edge,Plate edge_G13,,sample
G14,966,Orange,10,7/17/19,G,G14,Land,14,NA,,Plate,underside,,D,G14,CD,,Plate underside,Plate underside_G14,,sample
G15,966,Orange,10,7/17/19,G,G15,Land,15,7,Octo_1,Deepest,,,,G15,CD,,Deepest,Deepest_G15,,sample
G16,966,Orange,10,7/17/19,G,G16,Land,16,5,Octo_1,Lowest,,,,G16,CD,,Lowest,Lowest_G16,,sample
G2,966,Orange,10,7/17/19,G,G2,Ocean,2,NA,,Branch,mid,Inner,A,G2,CD,,Branch mid,Branch mid_G2,,sample
G3,966,Orange,10,7/17/19,G,G3,Ocean,3,1,Octo_1,Branch,base,Inner,A,G3,CD,,Branch base,Branch base_G3,,sample
G4,966,Orange,10,7/17/19,G,G4,Ocean,4,4,Octo_1,Plate,top,,B,G4,CD,,Plate top,Plate top_G4,,sample
G6,966,Orange,10,7/17/19,G,G6,Ocean,6,6,Octo_1,Plate,underside,,B,G6,CD,,Plate underside,Plate underside_G6,,sample
G7b,966,Orange,10,7/17/19,G,G7,Ocean,7,2,Octo_1,Deepest,,,,G7,CD,,Deepest,Deepest_G7,yes,sample
G8,966,Orange,10,7/17/19,G,G8,Ocean,8,3,Octo_1,Lowest,,,,G8,CD,,Lowest,Lowest_G8,,sample
G9,966,Orange,10,7/17/19,G,G9,Land,9,NA,,Branch,tip,,C,G9,CD,,Branch tip,Branch tip_G9,yes,sample
G9b,966,Orange,10,7/17/19,G,G9,Land,9,NA,,Branch,tip,,C,G9,CD,,Branch tip,Branch tip_G9,yes,sample
H1,978,Brown,8,7/18/19,H,H1,Ocean,1,0,,Branch,tip,,A,H1,C,,Branch tip,Branch tip_H1,yes,sample
H10,978,Brown,8,7/18/19,H,H10,Land,10,NA,,Branch,mid,Outer,C,H10,C,,Branch mid,Branch mid_H10,,sample
H11,978,Brown,8,7/18/19,H,H11,Land,11,NA,,Branch,base,Outer,C,H11,C,,Branch base,Branch base_H11,,sample
H12,978,Brown,8,7/18/19,H,H12,Land,12,4,,Branch,tip,,D,H12,C,,Branch tip,Branch tip_H12,,sample
H13,978,Brown,8,7/18/19,H,H13,Land,13,NA,,Branch,mid,Outer,D,H13,C,,Branch mid,Branch mid_H13,,sample
H14,978,Brown,8,7/18/19,H,H14,Land,14,5,,Branch,base,Outer,D,H14,C,,Branch base,Branch base_H14,,sample
H15,978,Brown,8,7/18/19,H,H15,Land,15,6,,Deepest,,,,H15,C,,Deepest,Deepest_H15,,sample
H16,978,Brown,8,7/18/19,H,H16,Land,16,7,,Lowest,,,,H16,C,,Lowest,Lowest_H16,,sample
H1b,978,Brown,8,7/18/19,H,H1,Ocean,1,0,,Branch,tip,,A,H1,C,,Branch tip,Branch tip_H1,yes,sample
H2,978,Brown,8,7/18/19,H,H2,Ocean,2,NA,,Branch,mid,Outer,A,H2,C,,Branch mid,Branch mid_H2,,sample
H3,978,Brown,8,7/18/19,H,H3,Ocean,3,1,,Branch,base,Outer,A,H3,C,,Branch base,Branch base_H3,yes,sample
H3b,978,Brown,8,7/18/19,H,H3,Ocean,3,1,,Branch,base,Outer,A,H3,C,,Branch base,Branch base_H3,yes,sample
H4,978,Brown,8,7/18/19,H,H4,Ocean,4,NA,,Branch,tip,,B,H4,C,,Branch tip,Branch tip_H4,yes,sample
H4b,978,Brown,8,7/18/19,H,H4,Ocean,4,NA,,Branch,tip,,B,H4,C,,Branch tip,Branch tip_H4,yes,sample
H5,978,Brown,8,7/18/19,H,H5,Ocean,5,NA,,Branch,mid,Inner,B,H5,C,,Branch mid,Branch mid_H5,,sample
H6,978,Brown,8,7/18/19,H,H6,Ocean,6,NA,,Branch,base,Inner,B,H6,C,,Branch base,Branch base_H6,yes,sample
H6b,978,Brown,8,7/18/19,H,H6,Ocean,6,NA,,Branch,base,Inner,B,H6,C,,Branch base,Branch base_H6,yes,sample
H7,978,Brown,8,7/18/19,H,H7,Ocean,7,2,,Deepest,,,,H7,C,,Deepest,Deepest_H7,yes,sample
H7b,978,Brown,8,7/18/19,H,H7,Ocean,7,2,,Deepest,,,,H7,C,,Deepest,Deepest_H7,yes,sample
H8,978,Brown,8,7/18/19,H,H8,Ocean,8,3,,Lowest,,,,H8,C,,Lowest,Lowest_H8,yes,sample
H8b,978,Brown,8,7/18/19,H,H8,Ocean,8,3,,Lowest,,,,H8,C,,Lowest,Lowest_H8,yes,sample
H9,978,Brown,8,7/18/19,H,H9,Land,9,NA,,Branch,tip,,C,H9,C,,Branch tip,Branch tip_H9,,sample
I1,963,Orange,7,7/18/19,I,I1,Ocean,1,0,,Branch,tip,,A,I1,D,Few,Branch tip,Branch tip_I1,,sample
I10,963,Orange,7,7/18/19,I,I10,Land,10,NA,,Branch,mid,Outer,C,I10,D,Few,Branch mid,Branch mid_I10,,sample
I11,963,Orange,7,7/18/19,I,I11,Land,11,NA,,Branch,base,Inner,C,I11,D,Few,Branch base,Branch base_I11,,sample
I12,963,Orange,7,7/18/19,I,I12,Land,12,4,,Branch,tip,,D,I12,D,Few,Branch tip,Branch tip_I12,,sample
I13,963,Orange,7,7/18/19,I,I13,Land,13,NA,,Branch,mid,Inner,D,I13,D,Few,Branch mid,Branch mid_I13,,sample
I14,963,Orange,7,7/18/19,I,I14,Land,14,5,,Branch,base,Inner,D,I14,D,Few,Branch base,Branch base_I14,,sample
I15,963,Orange,7,7/18/19,I,I15,Land,15,6,,Deepest,,,,I15,D,Few,Deepest,Deepest_I15,,sample
I16,963,Orange,7,7/18/19,I,I16,Land,16,7,,Lowest,,,,I16,D,Few,Lowest,Lowest_I16,,sample
I2,963,Orange,7,7/18/19,I,I2,Ocean,2,NA,,Branch,mid,Outer,A,I2,D,Few,Branch mid,Branch mid_I2,,sample
I3,963,Orange,7,7/18/19,I,I3,Ocean,3,1,,Branch,base,Inner,A,I3,D,Few,Branch base,Branch base_I3,,sample
I4,963,Orange,7,7/18/19,I,I4,Ocean,4,NA,,Branch,tip,,B,I4,D,Few,Branch tip,Branch tip_I4,,sample
I5,963,Orange,7,7/18/19,I,I5,Ocean,5,NA,,Branch,mid,Outer,B,I5,D,Few,Branch mid,Branch mid_I5,,sample
I6,963,Orange,7,7/18/19,I,I6,Ocean,6,NA,,Branch,base,Outer,B,I6,D,Few,Branch base,Branch base_I6,,sample
I7,963,Orange,7,7/18/19,I,I7,Ocean,7,2,,Deepest,,,,I7,D,Few,Deepest,Deepest_I7,,sample
I8,963,Orange,7,7/18/19,I,I8,Ocean,8,3,,Lowest,,,,I8,D,Few,Lowest,Lowest_I8,,sample
I9,963,Orange,7,7/18/19,I,I9,Land,9,NA,,Branch,tip,,C,I9,D,Few,Branch tip,Branch tip_I9,,sample
J1,961,Brown,6,7/19/19,J,J1,Ocean,1,0,Octo_3,Branch,tip,,A,J1,C,,Branch tip,Branch tip_J1,,sample
J10,961,Brown,6,7/19/19,J,J10,Land,10,NA,,Branch,mid,Inner,C,J10,C,,Branch mid,Branch mid_J10,,sample
J11,961,Brown,6,7/19/19,J,J11,Land,11,NA,,Branch,base,Inner,C,J11,C,,Branch base,Branch base_J11,,sample
J12,961,Brown,6,7/19/19,J,J12,Land,12,4,Octo_3,Plate,top,,D,J12,C,,Plate top,Plate top_J12,,sample
J13,961,Brown,6,7/19/19,J,J13,Land,13,NA,,Plate,edge,,D,J13,C,,Plate edge,Plate edge_J13,,sample
J14,961,Brown,6,7/19/19,J,J14,Land,14,5,Octo_3,Plate,underside,,D,J14,C,,Plate underside,Plate underside_J14,,sample
J15,961,Brown,6,7/19/19,J,J15,Land,15,6,Octo_3,Deepest,,,,J15,C,,Deepest,Deepest_J15,,sample
J16,961,Brown,6,7/19/19,J,J16,Land,16,7,Octo_3,Lowest,,,,J16,C,,Lowest,Lowest_J16,,sample
J2,961,Brown,6,7/19/19,J,J2,Ocean,2,NA,,Branch,mid,Outer,A,J2,C,,Branch mid,Branch mid_J2,,sample
J3,961,Brown,6,7/19/19,J,J3,Ocean,3,1,Octo_3,Branch,base,Inner,A,J3,C,,Branch base,Branch base_J3,,sample
J4,961,Brown,6,7/19/19,J,J4,Ocean,4,NA,,Plate,top,,B,J4,C,,Plate top,Plate top_J4,,sample
