TagID,Colony Color,Depth.ft,Samp.Date,ColonyDNA.ID,UNIQUEID,Land_Ocean,SampleNum,SampLoc,Sub.loc,BranchLoc,Sample_name,Zoox,CD_few,Location,LocSamp
969,Orange,5,7/8/19,C,C13,Land,13,Branch ,mid,Inner,C13,CD,Few,Branch mid,Branch mid_C13
969,Orange,5,7/8/19,C,C14,Land,14,Branch  ,base,Outer,C14,CD,Few,Branch base,Branch base_C14
969,Orange,5,7/8/19,C,C15,Land,15,Deepest,,,C15,CD,Few,Deepest,Deepest_C15
969,Orange,5,7/8/19,C,C16,Land,16,Lowest,,,C16,CD,Few,Lowest,Lowest_C16
972,Orange,4,7/16/19,D,D1,Ocean,1,Branch ,tip,,D1,D,,Branch tip,Branch tip_D1
972,Orange,4,7/16/19,D,D2,Ocean,2,Branch  ,mid,Outer,D2,D,,Branch mid,Branch mid_D2
972,Orange,4,7/16/19,D,D3,Ocean,3,Branch  ,base,Inner,D3,D,,Branch base,Branch base_D3
972,Orange,4,7/16/19,D,D4,Ocean,4,Plate ,top,,D4,D,,Plate top,Plate top_D4
972,Orange,4,7/16/19,D,D5,Ocean,5,Plate ,edge,,D5,D,,Plate edge,Plate edge_D5
972,Orange,4,7/16/19,D,D6,Ocean,6,Plate ,underside,,D6,D,,Plate underside,Plate underside_D6
972,Orange,4,7/16/19,D,D7,Ocean,7,Deepest,,,D7,D,,Deepest,Deepest_D7
972,Orange,4,7/16/19,D,D8,Ocean,8,Lowest,,,D8,D,,Lowest,Lowest_D8
972,Orange,4,7/16/19,D,D9,Land,9,Branch ,tip,,D9,D,,Branch tip,Branch tip_D9
972,Orange,4,7/16/19,D,D10,Land,10,Branch  ,mid,Outer,D10,D,,Branch mid,Branch mid_D10
972,Orange,4,7/16/19,D,D11,Land,11,Branch  ,base,Inner,D11,D,,Branch base,Branch base_D11
972,Orange,4,7/16/19,D,D12,Land,12,Plate ,top,,D12,D,,Plate top,Plate top_D12
972,Orange,4,7/16/19,D,D13,Land,13,Plate ,edge,,D13,D,,Plate edge,Plate edge_D13
972,Orange,4,7/16/19,D,D14,Land,14,Plate ,underside,,D14,D,,Plate underside,Plate underside_D14
972,Orange,4,7/16/19,D,D15,Land,15,Deepest,,,D15,D,,Deepest,Deepest_D15
972,Orange,4,7/16/19,D,D16,Land,16,Lowest,,,D16,D,,Lowest,Lowest_D16
971,Brown,5,7/16/19,E,E1,Ocean,1,Branch ,tip,,E1,C,,Branch tip,Branch tip_E1
971,Brown,5,7/16/19,E,E2,Ocean,2,Branch  ,mid,Inner,E2,C,,Branch mid,Branch mid_E2
971,Brown,5,7/16/19,E,E3,Ocean,3,Branch  ,base,Inner,E3,C,,Branch base,Branch base_E3
971,Brown,5,7/16/19,E,E4,Ocean,4,Branch ,tip,,E4,C,,Branch tip,Branch tip_E4
971,Brown,5,7/16/19,E,E5,Ocean,5,Branch  ,mid,Outer,E5,C,,Branch mid,Branch mid_E5
971,Brown,5,7/16/19,E,E6,Ocean,6,Branch  ,base,Outer,E6,C,,Branch base,Branch base_E6
971,Brown,5,7/16/19,E,E7,Ocean,7,Deepest,,,E7,C,,Deepest,Deepest_E7
971,Brown,5,7/16/19,E,E8,Ocean,8,Lowest,,,E8,C,,Lowest,Lowest_E8
971,Brown,5,7/16/19,E,E9,Land,9,Branch ,tip,,E9,C,,Branch tip,Branch tip_E9
971,Brown,5,7/16/19,E,E10,Land,10,Branch  ,mid,Outer,E10,C,,Branch mid,Branch mid_E10
971,Brown,5,7/16/19,E,E11,Land,11,Branch  ,base,Outer,E11,C,,Branch base,Branch base_E11
971,Brown,5,7/16/19,E,E12,Land,12,Branch ,tip,,E12,C,,Branch tip,Branch tip_E12
971,Brown,5,7/16/19,E,E13,Land,13,Branch  ,mid,Inner,E13,C,,Branch mid,Branch mid_E13
971,Brown,5,7/16/19,E,E14,Land,14,Branch  ,base,Inner,E14,C,,Branch base,Branch base_E14
971,Brown,5,7/16/19,E,E15,Land,15,Deepest,,,E15,C,,Deepest,Deepest_E15
971,Brown,5,7/16/19,E,E16,Land,16,Lowest,,,E16,C,,Lowest,Lowest_E16
968,Orange,6,7/17/19,F,F1,Ocean,1,Branch ,tip,,F1,D,,Branch tip,Branch tip_F1
968,Orange,6,7/17/19,F,F2,Ocean,2,Branch  ,mid,Outer,F2,D,,Branch mid,Branch mid_F2
968,Orange,6,7/17/19,F,F3,Ocean,3,Branch  ,base,Inner,F3,D,,Branch base,Branch base_F3
968,Orange,6,7/17/19,F,F4,Ocean,4,Branch ,tip,,F4,D,,Branch tip,Branch tip_F4
968,Orange,6,7/17/19,F,F5,Ocean,5,Branch ,mid,,F5,D,,Branch mid,Branch mid_F5
968,Orange,6,7/17/19,F,F6,Ocean,6,Branch ,base,,F6,D,,Branch base,Branch base_F6
968,Orange,6,7/17/19,F,F7,Ocean,7,Deepest,,,F7,D,,Deepest,Deepest_F7
968,Orange,6,7/17/19,F,F8,Ocean,8,Lowest,,,F8,D,,Lowest,Lowest_F8
968,Orange,6,7/17/19,F,F9,Land,9,Branch ,tip,,F9,D,,Branch tip,Branch tip_F9
968,Orange,6,7/17/19,F,F10,Land,10,Branch ,mid,,F10,D,,Branch mid,Branch mid_F10
968,Orange,6,7/17/19,F,F11,Land,11,Branch ,base,,F11,D,,Branch base,Branch base_F11
968,Orange,6,7/17/19,F,F12,Land,12,Branch ,tip,,F12,D,,Branch tip,Branch tip_F12
968,Orange,6,7/17/19,F,F13,Land,13,Branch  ,mid,Outer,F13,D,,Branch mid,Branch mid_F13
968,Orange,6,7/17/19,F,F14,Land,14,Branch  ,base,Inner,F14,D,,Branch base,Branch base_F14
968,Orange,6,7/17/19,F,F15,Land,15,Deepest,,,F15,D,,Deepest,Deepest_F15
968,Orange,6,7/17/19,F,F16,Land,16,Lowest,,,F16,D,,Lowest,Lowest_F16
966,Orange,10,7/17/19,G,G1,Ocean,1,Branch ,tip,,G1,CD,,Branch tip,Branch tip_G1
966,Orange,10,7/17/19,G,G2,Ocean,2,Branch  ,mid,Inner,G2,CD,,Branch mid,Branch mid_G2
966,Orange,10,7/17/19,G,G3,Ocean,3,Branch  ,base,Inner,G3,CD,,Branch base,Branch base_G3
966,Orange,10,7/17/19,G,G4,Ocean,4,Plate ,top,,G4,CD,,Plate top,Plate top_G4
966,Orange,10,7/17/19,G,G5,Ocean,5,Plate ,edge,,G5,CD,,Plate edge,Plate edge_G5
966,Orange,10,7/17/19,G,G6,Ocean,6,Plate ,underside,,G6,CD,,Plate underside,Plate underside_G6
966,Orange,10,7/17/19,G,G7,Ocean,7,Deepest,,,G7,CD,,Deepest,Deepest_G7
966,Orange,10,7/17/19,G,G8,Ocean,8,Lowest,,,G8,CD,,Lowest,Lowest_G8
966,Orange,10,7/17/19,G,G9,Land,9,Branch ,tip,,G9,CD,,Branch tip,Branch tip_G9
966,Orange,10,7/17/19,G,G10,Land,10,Branch  ,mid,Outer,G10,CD,,Branch mid,Branch mid_G10
966,Orange,10,7/17/19,G,G11,Land,11,Branch  ,base,Inner,G11,CD,,Branch base,Branch base_G11
966,Orange,10,7/17/19,G,G12,Land,12,Plate ,top,,G12,CD,,Plate top,Plate top_G12
966,Orange,10,7/17/19,G,G13,Land,13,Plate ,edge,,G13,CD,,Plate edge,Plate edge_G13
966,Orange,10,7/17/19,G,G14,Land,14,Plate ,underside,,G14,CD,,Plate underside,Plate underside_G14
966,Orange,10,7/17/19,G,G15,Land,15,Deepest,,,G15,CD,,Deepest,Deepest_G15
966,Orange,10,7/17/19,G,G16,Land,16,Lowest,,,G16,CD,,Lowest,Lowest_G16
978,Brown,8,7/18/19,H,H1,Ocean,1,Branch ,tip,,H1,C,,Branch tip,Branch tip_H1
